name_en,name_vi,description_en,description_vi,brand_name,category_name_en,is_active
Running T-Shirt 1,Áo chạy bộ 1,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Nike,T-Shirts,true
Running T-Shirt 2,Áo chạy bộ 2,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Adidas,T-Shirts,true
Running T-Shirt 3,Áo chạy bộ 3,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Puma,T-Shirts,true
Running T-Shirt 4,Áo chạy bộ 4,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Under Armour,T-Shirts,true
Running T-Shirt 5,Áo chạy bộ 5,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Asics,T-Shirts,true
Running T-Shirt 6,Áo chạy bộ 6,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,New Balance,T-Shirts,true
Running T-Shirt 7,Áo chạy bộ 7,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Decathlon,T-Shirts,true
Running T-Shirt 8,Áo chạy bộ 8,Breathable running t-shirt,Áo thun chạy bộ thoáng khí,Reebok,T-Shirts,true
Training Shorts 1,Quần tập 1,Lightweight training shorts,Quần short tập luyện,Adidas,Shorts,true
Training Shorts 2,Quần tập 2,Lightweight training shorts,Quần short tập luyện,Nike,Shorts,true
Training Shorts 3,Quần tập 3,Lightweight training shorts,Quần short tập luyện,Puma,Shorts,true
Training Shorts 4,Quần tập 4,Lightweight training shorts,Quần short tập luyện,Under Armour,Shorts,true
Training Shorts 5,Quần tập 5,Lightweight training shorts,Quần short tập luyện,Asics,Shorts,true
Training Shorts 6,Quần tập 6,Lightweight training shorts,Quần short tập luyện,New Balance,Shorts,true
Training Shorts 7,Quần tập 7,Lightweight training shorts,Quần short tập luyện,Decathlon,Shorts,true
Training Shorts 8,Quần tập 8,Lightweight training shorts,Quần short tập luyện,Reebok,Shorts,true
Sport Pants 1,Quần thể thao 1,Comfort sport pants,Quần dài thể thao,Puma,Pants,true
Sport Pants 2,Quần thể thao 2,Comfort sport pants,Quần dài thể thao,Nike,Pants,true
Sport Pants 3,Quần thể thao 3,Comfort sport pants,Quần dài thể thao,Adidas,Pants,true
Sport Pants 4,Quần thể thao 4,Comfort sport pants,Quần dài thể thao,Under Armour,Pants,true
Sport Pants 5,Quần thể thao 5,Comfort sport pants,Quần dài thể thao,Asics,Pants,true
Sport Pants 6,Quần thể thao 6,Comfort sport pants,Quần dài thể thao,New Balance,Pants,true
Sport Pants 7,Quần thể thao 7,Comfort sport pants,Quần dài thể thao,Decathlon,Pants,true
Sport Pants 8,Quần thể thao 8,Comfort sport pants,Quần dài thể thao,Reebok,Pants,true
Sport Jacket 1,Áo khoác thể thao 1,Warm sport jacket,Áo khoác thể thao giữ ấm,Nike,Jackets,true
Sport Jacket 2,Áo khoác thể thao 2,Warm sport jacket,Áo khoác thể thao giữ ấm,Adidas,Jackets,true
Sport Jacket 3,Áo khoác thể thao 3,Warm sport jacket,Áo khoác thể thao giữ ấm,Puma,Jackets,true
Sport Jacket 4,Áo khoác thể thao 4,Warm sport jacket,Áo khoác thể thao giữ ấm,Under Armour,Jackets,true
Sport Jacket 5,Áo khoác thể thao 5,Warm sport jacket,Áo khoác thể thao giữ ấm,Asics,Jackets,true
Sport Jacket 6,Áo khoác thể thao 6,Warm sport jacket,Áo khoác thể thao giữ ấm,New Balance,Jackets,true
Sport Jacket 7,Áo khoác thể thao 7,Warm sport jacket,Áo khoác thể thao giữ ấm,Decathlon,Jackets,true
Sport Jacket 8,Áo khoác thể thao 8,Warm sport jacket,Áo khoác thể thao giữ ấm,Reebok,Jackets,true
